id,question_1,question_1_answer,question_2,question_2_answer,question_3,question_3_answer
2f7782ca-6de7-4f72-9086-03e32e1f6477,What are your thoughts on the design and use of the navigation menu at the top of every screen in the PI application?,"The top navigation is clean and predictable, which I appreciate because I can move through the same tabs without hunting around. The labels are a little small, though, and I did have to pause once or twice to make sure I was in the right section.",Did the PI application improve your existing workflow for handling patient intake documents and discussing the results with the patient? Please explain how PI impacted your workflow.,"Yes, PI made the intake process easier for me. Having the forms already organized and the completed data ready to review saved time compared with paper or scattered PDFs, and it made my discussion with the patient more focused instead of spent sorting through documents.","Did the PI application function as you expected, or were there moments where completing a task felt confusing, required too much thought, or became overwhelming? Please explain in detail.","Mostly it worked as I expected, but a few parts took more thought than they should have. The forms list and search were fine, but some screens felt a little sparse or generic, and I had to stop and figure out what to do next, especially when moving between finding a form and opening it."
60bc5e24-4963-4b4c-afe9-6cecb53d70ed,What are your thoughts on the design and use of the navigation menu at the top of every screen in the PI application?,"I found the top navigation menu useful in the sense that it was always there, so I never had to hunt around for where to go next. That said, it felt a little too prominent for how simple the task flow is, and the tabs all look similar enough that I had to pause more than once to confirm I was in the right place. The labels are straightforward, but I would have liked stronger visual cues for the active section and maybe a cleaner layout overall. On a busy clinic morning, I do not want extra friction from having to reorient myself on every screen. It works, but it feels a bit flat and repetitive rather than truly helping me move faster.",Did the PI application improve your existing workflow for handling patient intake documents and discussing the results with the patient? Please explain how PI impacted your workflow.,"Yes, PI would save me time compared with paper packets and scanning. Having the forms distributed ahead of the visit and the responses already organized would make it much easier to review with the patient and focus on the actual conversation.","Did the PI application function as you expected, or were there moments where completing a task felt confusing, required too much thought, or became overwhelming? Please explain in detail.","Mostly it functioned the way I expected, especially for standard intake forms and checking completion status. I did not feel lost, but I did have to think a little too much about the difference between the form lists, the status indicators, and where to go next when I wanted to review something quickly. The workflow is better than paper, but a few screens felt more busy than necessary, so I could see less tech-comfortable patients getting slowed down."
7a196294-d756-4f82-bd89-8d8834119701,What are your thoughts on the design and use of the navigation menu at the top of every screen in the PI application?,"The top navigation felt clean and predictable. Having Home, Forms To Do, Completed Forms, and Find Form in the same place made it easy to move fast without hunting around, which is exactly what I want during a busy clinic day.",Did the PI application improve your existing workflow for handling patient intake documents and discussing the results with the patient? Please explain how PI impacted your workflow.,"Yes, it streamlined intake for me. I could see what patients had already finished, review the results before the visit, and talk through them more efficiently instead of sorting paper or chasing missing forms afterward.","Did the PI application function as you expected, or were there moments where completing a task felt confusing, required too much thought, or became overwhelming? Please explain in detail.","Mostly it worked the way I expected, and I liked that the forms were already organized by visit and status. That said, a few parts made me pause. The list view is helpful, but when several forms have similar names or the same status, I had to slow down to make sure I was opening the right one for the right patient. The Find Form area also felt a little sparse; I expected the search and selection to be more obvious right away. On the actual form screens, the layout was clean, but there were moments where I wanted a little more guidance about whether I was just reviewing, saving, or fully submitting something. I can see this being very useful once staff are used to it, but in the middle of a busy morning I could imagine a newer user feeling a bit overloaded by too many steps or too much scrolling. The core idea is solid; it just needs a little more clarity in a few spots."
396fd3fc-8e8e-4132-9830-1dcdad037591,What are your thoughts on the design and use of the navigation menu at the top of every screen in the PI application?,"I liked the navigation bar at the top. Having Home, Forms To Do, Completed Forms, and Find Form in the same place on every screen made it easy to stay oriented, especially when I was moving between a patient’s intake, a finished form, and search. It felt clean and predictable, which matters when I’m trying to work quickly and not lose my place.",Did the PI application improve your existing workflow for handling patient intake documents and discussing the results with the patient? Please explain how PI impacted your workflow.,"It helped some, mostly by cutting down on paper and making the intake answers available before I spoke with the patient. That said, it didn’t fully replace my usual workflow. I still had to jump between the task list, the individual form, and the search screen, and I spent extra time figuring out which forms were complete versus still waiting. For patient conversations, the information was there, but it wasn’t always easy to pull the key details together fast. I would want a clearer summary view, especially for medication-related items and anything that needs follow-up, so I’m not relying on memory while I’m talking with the patient.","Did the PI application function as you expected, or were there moments where completing a task felt confusing, required too much thought, or became overwhelming? Please explain in detail.","It worked most of the time, but there were moments that felt clunky. The status icons and the ""to do"" versus ""complete"" labels took a second to process, and on the search screen I had to think too much about which form I was actually opening. The intake form itself was straightforward, but the handoff between screens made the process more mentally busy than I expected."
d3c57f77-9b01-4674-a01a-35e59ab68fb6,What are your thoughts on the design and use of the navigation menu at the top of every screen in the PI application?,"The top navigation is simple, but it feels a little repetitive and takes up space on every screen. I understood the tabs, though I kept wishing there were clearer visual cues for where I was and a faster way back to the patient list.",Did the PI application improve your existing workflow for handling patient intake documents and discussing the results with the patient? Please explain how PI impacted your workflow.,"Yes, PI did improve my workflow. Having the intake forms routed automatically meant I spent less time chasing paperwork and scanning PDFs, and I could review responses before or during the visit. It also made it easier to pull the patient into the discussion with the results already organized instead of piecing things together afterward.","Did the PI application function as you expected, or were there moments where completing a task felt confusing, required too much thought, or became overwhelming? Please explain in detail.","A few parts felt clunky, especially when the same information was shown in several places without much guidance. The demographics form had a lot of generic ""Value"" fields, and it wasn’t always obvious what was required versus optional, so I had to slow down more than I expected."
f4d5e003-5f42-4609-82e9-6f1c6ba85a84,What are your thoughts on the design and use of the navigation menu at the top of every screen in the PI application?,"I liked the top navigation because it stayed in the same place and the tabs were simple: Home, Forms To Do, Completed Forms, and Find Form. It felt familiar and easy to move through without hunting.",Did the PI application improve your existing workflow for handling patient intake documents and discussing the results with the patient? Please explain how PI impacted your workflow.,"Yes, PI helped. Instead of sorting paper packets or checking whether the right form was handed out, I could see what was completed, open the intake details quickly, and use that information sooner when talking with the patient.","Did the PI application function as you expected, or were there moments where completing a task felt confusing, required too much thought, or became overwhelming? Please explain in detail.","The overall flow made sense, but there were a few spots that felt more confusing than I expected. In the Forms To Do table, the status icons and the For Visit column took a second to interpret, especially when some items were complete and others were not. The Find Form screen also felt a little clunky; the search bar and list didn’t immediately tell me whether I was looking at the right template, and I had to pause and scan more than I’d like. On the demographic form itself, several fields were just labeled “Value,” which made it feel unfinished and a bit repetitive. I would also want clearer cues about whether my changes were saved before I hit Submit. None of it was impossible, but it did make me slow down and think when I was trying to move quickly."
b6d4ab0d-1c9d-482c-b8e3-d1c92a0996dd,What are your thoughts on the design and use of the navigation menu at the top of every screen in the PI application?,"I liked the top navigation because it stayed in the same place and made the app feel predictable. After a couple clicks I could move between Home, Forms To Do, Completed Forms, and Find Form without hunting around. That said, the tabs are a little small and plain, so the active screen could stand out more.",Did the PI application improve your existing workflow for handling patient intake documents and discussing the results with the patient? Please explain how PI impacted your workflow.,"Honestly, PI only helped part of the workflow. It did cut down on paper and made it easier to see what was still outstanding, but I still had to jump between the home list, the to-do list, and the search screen to find the right form. For patient discussion, I was still checking details on the fly instead of having everything flow naturally from my EHR.","Did the PI application function as you expected, or were there moments where completing a task felt confusing, required too much thought, or became overwhelming? Please explain in detail.","Mostly yes. The forms opened cleanly, buttons worked, and the search/navigation felt straightforward. I only hesitated a little between the different form lists, but nothing felt overwhelming."
01585394-4658-4b8f-bda9-cf0e713cc3e5,What are your thoughts on the design and use of the navigation menu at the top of every screen in the PI application?,"The top navigation is consistent, which I appreciate, but it feels a little too plain and a bit cramped for how often I’d be using it. Having the same tabs on every screen does make it easy to orient myself, but the labels and active state aren’t very strong visually, so I had to look twice to be sure where I was. For a busy clinic day, I’d want the menu to stand out more and guide me faster. Right now it works, but it doesn’t really help me move smoothly through the workflow, and it adds to the sense that I’m clicking around instead of getting straight to the patient information I need.",Did the PI application improve your existing workflow for handling patient intake documents and discussing the results with the patient? Please explain how PI impacted your workflow.,"PI did improve parts of my intake workflow, mostly by reducing paper handling and making it easier to see which forms were complete, incomplete, or still waiting. I liked being able to review the patient’s intake information in one place and use that to support the conversation instead of digging through scanned documents or separate PDFs. That would save time, especially if a patient completes forms ahead of the visit. At the same time, I still felt some friction. The workflow seems to assume I can stay entirely within the system, but in real life I’m often comparing the intake with what I already know from the chart, and I still end up writing a few notes or checking another screen. So yes, it helped, but it didn’t fully replace my usual way of working.","Did the PI application function as you expected, or were there moments where completing a task felt confusing, required too much thought, or became overwhelming? Please explain in detail.","Mostly it worked as expected, but a few moments felt slower than they should have. The form list and search area were not always obvious at first glance, and I had to pause to figure out where a form was or whether it was completed. It wasn’t overwhelming, just a little more thinking than I’d want during a busy clinic day."
19eea5ab-6515-4da8-9d9c-9e8a75a714c1,What are your thoughts on the design and use of the navigation menu at the top of every screen in the PI application?,"The top navigation is handy because it stays in the same place, but it feels a little too plain and takes up space on every screen. I could get where I needed to go, yet the tabs look small and a bit cramped, so on a busy day I would want clearer labels or stronger highlighting for the active page.",Did the PI application improve your existing workflow for handling patient intake documents and discussing the results with the patient? Please explain how PI impacted your workflow.,"PI did help some with intake because the forms were already organized before I saw the patient, and I could review the results faster than shuffling paper. That said, I still had to explain items and double-check a few answers with the patient, so it helped more with collecting documents than with the actual conversation. It saved a little time, just not as much as I hoped.","Did the PI application function as you expected, or were there moments where completing a task felt confusing, required too much thought, or became overwhelming? Please explain in detail.","Mostly it functioned the way I expected. The forms loaded, the status updates were easy to follow, and I liked being able to see what was complete versus still to do. A couple screens made me pause, especially the demographic form with all the fields packed together, but nothing felt impossible. Once I found the flow, it was steady and predictable, which I appreciate."
5976bfe4-7c1d-4784-9ec1-5672df9a850f,What are your thoughts on the design and use of the navigation menu at the top of every screen in the PI application?,"The top menu is pretty clean and easy to follow, and I like that the same tabs stay in the same place. It feels familiar, but it does take up a lot of space and the labels could be a little clearer.",Did the PI application improve your existing workflow for handling patient intake documents and discussing the results with the patient? Please explain how PI impacted your workflow.,"Only a little. It did cut down on paper and made the forms easier to review, but I still had to switch between screens and recheck details before I could talk through them with the patient. It added some efficiency, not a big workflow change.","Did the PI application function as you expected, or were there moments where completing a task felt confusing, required too much thought, or became overwhelming? Please explain in detail.","Mostly it worked, but a few things felt more confusing than they should have. The mix of Home, Forms To Do, Completed Forms, and Find Form made me pause more than once, especially when a patient had both completed and incomplete forms. I also had to stop and think about the status icons and whether I was looking at the right visit. It was usable, but not as intuitive as I expected."
f78994b5-a9cd-44fc-8a54-e90aff01f1da,What are your thoughts on the design and use of the navigation menu at the top of every screen in the PI application?,"I thought the top navigation was simple and consistent, which helped me move around quickly. That said, it feels a little bulky and the tabs are small enough that I had to look twice a few times.",Did the PI application improve your existing workflow for handling patient intake documents and discussing the results with the patient? Please explain how PI impacted your workflow.,"Honestly, it did not save me much time for intake review. I still had to open each form, scan through the responses, and then pull the important pieces into my usual note workflow before I could talk with the patient. The list view was helpful for seeing what was done, but I kept bouncing between To Do, Completed Forms, and the form itself, so it felt more like extra steps than a real streamline.","Did the PI application function as you expected, or were there moments where completing a task felt confusing, required too much thought, or became overwhelming? Please explain in detail.","Mostly it worked the way I expected. The status checks, clean forms, and submit buttons were straightforward, and I could usually figure it out without help. A few labels took a second, but nothing felt overwhelming."
887ee5a5-64da-401d-932c-49695c94f3e8,What are your thoughts on the design and use of the navigation menu at the top of every screen in the PI application?,"I liked that the top menu stayed in the same place on every screen. It made PI feel predictable, and I could move between Home, Forms To Do, Completed Forms, and Find Form without hunting around.",Did the PI application improve your existing workflow for handling patient intake documents and discussing the results with the patient? Please explain how PI impacted your workflow.,"Not really. PI did help centralize the intake documents, but I still found myself checking the form status, opening the patient entry, and then going back to the chart to explain things. It reduced paper handling, but it didn’t fully streamline the conversation with the patient the way I hoped, because I still had to do a fair amount of manual review.","Did the PI application function as you expected, or were there moments where completing a task felt confusing, required too much thought, or became overwhelming? Please explain in detail.","Overall it worked close to what I expected, but a few parts felt less intuitive than they should have. The tabs are clear once you learn them, yet the difference between Home, Forms To Do, and Completed Forms took me a minute, especially when a patient had a mix of done and not-done forms. In the form list, the status icons and dates were small, so I had to slow down and double-check who still owed what. The Find Form screen also felt a little clunky because searching brought up a short list, but I had to read carefully to make sure I was selecting the right template. Nothing was impossible, but it added enough friction that I wouldn’t want to use it when I’m already behind."
9fd2f6ae-3e9d-4b7e-b25d-39816eea820a,What are your thoughts on the design and use of the navigation menu at the top of every screen in the PI application?,"I liked having the same navigation menu at the top of every screen. It kept me oriented, and the Home, Forms To Do, Completed Forms, and Find Form tabs made it easy to jump back and forth without hunting around. For a busy clinic day, that consistency matters. I would only ask that the active tab stand out a little more.",Did the PI application improve your existing workflow for handling patient intake documents and discussing the results with the patient? Please explain how PI impacted your workflow.,"It helped with collecting forms, but it did not really streamline the whole intake workflow for me. I still had to stop and review what the patient entered, then explain pieces of it separately, so the time savings felt modest.","Did the PI application function as you expected, or were there moments where completing a task felt confusing, required too much thought, or became overwhelming? Please explain in detail.","Mostly, PI functioned the way I expected. The form lists were straightforward, and I could see at a glance what was complete versus still to do. The only moments that took extra thought were when I was moving between the list view and an individual form, or trying to find the right form name quickly. It never felt overwhelming, just a little more clicking than I would prefer."
79d9abf2-e1c8-45fd-8fd4-80d091609b65,What are your thoughts on the design and use of the navigation menu at the top of every screen in the PI application?,"I liked the top navigation because it stayed in the same place on every screen and kept me oriented. The tabs were simple, readable, and made it easy to jump between tasks without hunting.",Did the PI application improve your existing workflow for handling patient intake documents and discussing the results with the patient? Please explain how PI impacted your workflow.,"Yes, PI did improve my workflow overall. Instead of chasing paper intake packets or scanning through a stack of PDFs, I could see what patients had already completed and review the information in a much cleaner format. That helps me come into the visit better prepared, especially for shared decision-making, because I’m not spending the first few minutes sorting through demographics and questionnaires. I also liked that the completed forms were organized by status and visit, so it felt easier to prioritize what needed my attention before I went in to discuss results with the patient. For a busy primary care day, that kind of setup should save time for both clinical staff and patients. It didn’t replace my usual chart review, but it made the intake part of the workflow feel more streamlined and less repetitive.","Did the PI application function as you expected, or were there moments where completing a task felt confusing, required too much thought, or became overwhelming? Please explain in detail.","A few parts still felt more clunky than I expected. The overall layout was clean, but some screens required more thought than I wanted during a busy clinic day. On the form list and the dashboard, I had to pause to make sure I understood what was completed versus still waiting, because the status indicators were a little too subtle for my taste. In the search/find form area, the results also felt a bit vague at first, and I wasn’t always sure whether I was looking at the right template or just a demo item until I clicked into it. The basic demographic form was simple, which is good, but it was almost too sparse, so I had to stop and confirm what was expected in each field. Nothing completely broke, but there were moments where I felt like I was doing extra interpretation instead of just moving through the task."
faaa1ef0-3b3d-45f0-b0da-8e8985289974,What are your thoughts on the design and use of the navigation menu at the top of every screen in the PI application?,"I liked that the top navigation stayed in the same place on every screen. That consistency makes it easier for me to move quickly between the dashboard, forms to do, completed forms, and finding a specific form without hunting around. The tabs are plain and easy to recognize, which is helpful when I’m already switching back and forth between patient intake and the rest of my work. I also appreciated that it didn’t feel crowded, so the screen still felt clean. If anything, I would want the active tab to stand out just a little more, but overall the navigation felt simple, familiar, and low-stress.",Did the PI application improve your existing workflow for handling patient intake documents and discussing the results with the patient? Please explain how PI impacted your workflow.,"Not really as much as I expected. It did make the intake forms easier to track and cut down on paper, but I still had to jump between the list and the individual forms, then explain everything to the patient myself. It helped with organization more than it helped with the actual conversation or workflow in the room.","Did the PI application function as you expected, or were there moments where completing a task felt confusing, required too much thought, or became overwhelming? Please explain in detail.","Mostly it worked, but a few spots were not intuitive. The form list and search area made me slow down more than I wanted, and I had to think a bit about which items were done versus still needing attention."
c5aa5f11-8076-464c-8c3f-1c27351b9136,What are your thoughts on the design and use of the navigation menu at the top of every screen in the PI application?,"I like that the same top menu stays put, but it feels a little basic and repetitive. I kept wanting faster shortcuts for getting back to a patient or jumping straight to the forms I’m actually using.",Did the PI application improve your existing workflow for handling patient intake documents and discussing the results with the patient? Please explain how PI impacted your workflow.,"It helped some because patients can complete forms before the visit and I can see the status quickly instead of chasing paper. That said, I still had to open and review multiple screens, so it wasn’t completely hands-off. For patient discussion, having the information organized made it easier to point out concerns and reinforce instructions, but I’d want a little more summary or flagging so I don’t have to hunt for the important pieces.","Did the PI application function as you expected, or were there moments where completing a task felt confusing, required too much thought, or became overwhelming? Please explain in detail.","Mostly it worked the way I expected, and the screens were pretty straightforward. I didn’t run into anything wildly confusing, though I did pause a little when switching between completed, to-do, and find forms just to be sure I was in the right place."
64710a0d-271b-45e5-8fe0-4e8b5585dfe7,What are your thoughts on the design and use of the navigation menu at the top of every screen in the PI application?,"I liked that the top navigation stayed in the same place on every screen, so I could jump between Home, Forms To Do, Completed Forms, and Find Form without hunting around. It felt clean and pretty intuitive.",Did the PI application improve your existing workflow for handling patient intake documents and discussing the results with the patient? Please explain how PI impacted your workflow.,"It helped a little with eliminating paper, but it did not really streamline my workflow. I still had to stop, check which form was assigned, and then explain the results myself, so it felt like one more step instead of a true time saver.","Did the PI application function as you expected, or were there moments where completing a task felt confusing, required too much thought, or became overwhelming? Please explain in detail.","It mostly functioned the way I expected. The form list, status indicators, and submit flow were straightforward, and I could tell at a glance what was completed or still pending. I did have to slow down on the Find Form screen and double-check the right visit form, because a few names looked similar, but it never felt overwhelming. Once I was in the survey, it was easy enough to move through."
c8834272-3030-4d7f-8c98-219ad50cc5d1,What are your thoughts on the design and use of the navigation menu at the top of every screen in the PI application?,"The top navigation is clean enough, but I found it a little too small and repetitive. I kept checking which tab I was on, and the active state could stand out more so I’m not second-guessing myself.",Did the PI application improve your existing workflow for handling patient intake documents and discussing the results with the patient? Please explain how PI impacted your workflow.,"Yes, PI did improve the intake workflow for me. Instead of juggling paper forms or hunting through PDFs, I could review the patient’s completed intake in one place, then use the information more quickly when talking with them. The cleaner layout and the EHR-friendly data flow reduced a lot of clerical clutter and saved time.","Did the PI application function as you expected, or were there moments where completing a task felt confusing, required too much thought, or became overwhelming? Please explain in detail.","Mostly it worked, but a few parts took more thought than I expected. The different screens for Forms To Do, Completed Forms, and Find Form were not always obvious at first, and I had to click around to understand where a patient’s information lived. I also would have liked clearer guidance when a form was incomplete or when I needed to move from reviewing to discussing it with the patient."
