qa_id,question,answer,label,Seeds,Follow up questions
1_1,What do you usually eat for breakfast?,Coffee,VA,Coffee,"Do you eat coffee? If so, in what form (beans, grounds, etc.)? If not, do you mean you just drink coffee and don't eat breakfast?  "
1_2,What do you usually eat for breakfast?,"I don't eat breakfast, I just drink a single cup of black coffee every morning",C,,
1_3,What do you usually eat for breakfast?,I'll make a pancake,VA,Make a pancake,"Do you eat pancakes too, or do you just make them, presumably for others in your house hold? "
1_4,What do you usually eat for breakfast?,I usually make pancakes for my family of four and I'll eat one to two of them,C,,
1_5,What do you usually eat for breakfast?,I can't,VA,I can't,"What do you mean by I can't? You can't eat breakfast? You don't like to eat, but you can? You can't eat breakfast because of a specific reason?"
1_6,What do you usually eat for breakfast?,"I can't eat breakfast because I don't have time in the mornings to make or eat anything. Usually I down a 5-hour energy and wait to eat until lunch, when I have a break. ",C,,
1_7,What do you usually eat for breakfast?,"A handful of berries, every couple of days",VA,every couple of days,"What do you mean by every couple of days? You eat a handful of berries once every 2-3 days, in the morning? What about the 'off-days', do you eat anything for breakfast during those days as well? Or do you only eat breakfast 2-3 days per week? Why? "
1_8,What do you usually eat for breakfast?,"On Mondays and Wednesdays I eat a handful of berries before I go into work. But Tuesdays, Thursdays, Fridays, Saturdays, and Sundays I work from home and sleep in until 1 pm, so I don't eat breakfast on those days. ",C,,
1_9,What do you usually eat for breakfast?,An apple a day keeps the doctor away,VA,An apple a day,Do you usually eat a single apple for breakfast? Or do you just like that saying?
1_10,What do you usually eat for breakfast?,"You know the saying, ""An apple a day keeps the doctor away"", so every morning I eat one green apple, sliced.",C,,
2_1,"Which season do you like more: summer or winter, and why?",Skiing is my favorite sport,VA,skiing is my favorite sport,"Since skiing is your favorite sport, can we assume that you like winter more than summer? "
2_2,"Which season do you like more: summer or winter, and why?","I'd prefer winter over summer, because skiing is my favorite sport",C,,
2_3,"Which season do you like more: summer or winter, and why?",I hate cold weather,VA,hate cold weather,"Since you 'hate cold weather' can we imply that you prefer winter over summer? Or do you like winter, but just don't enjoy being cold during the winter?"
2_4,"Which season do you like more: summer or winter, and why?",I like summer more because I hate cold weather and having to use the heating in my house continuously for 4 months.,C,,
2_5,"Which season do you like more: summer or winter, and why?",I live in Florida for a reason,VA,live in florida,What is the reason you live in Florida? Is it related to your preference of summer over winter? 
2_6,"Which season do you like more: summer or winter, and why?","I'd prefer summer over winter, I live in Florida for a reason. That reasoning being not having to deal with cold weather, shoveling snow, and worrying about slipping on ice in the winter. In Florida I can enjoy 70-100 degree weather all year long, never thinking about snow, ",C,,
2_7,"Which season do you like more: summer or winter, and why?",Neither,VA,neither,"What do you mean by 'neither'? You don't like summer or winter? Why? If you had to choose, which one would you pick?"
2_8,"Which season do you like more: summer or winter, and why?","I don't like winter or summer. I live in a resort town where all of the tourist flood into my town during summer and winter, not respecting locals or our home, and making chaos while they are here and not cleaning up after their mess when they leave. I'd prefer fall or spring becuase it's quite and us locals can actually enjoy the outdoors when all of the tourists aren't here. But, if I had to pick, I would probably say winter over summer, I'm super sentitive to heat. ",C,,
2_9,"Which season do you like more: summer or winter, and why?","Being a gardner, winter is really hard. But I do enjoy snowstorms. ",VA,"winter is hard, but enjoys snowstorms",
2_10,"Which season do you like more: summer or winter, and why?","Being a gardner, winter is really hard because I don’t have anything to do for work! But I do enjoy the snowstorms in the winter. Eventhough I like snowstorms, I would have to pick summer because I don't have to worry about finding a job in the summer, all I have to do is grow and sell food!",C,,
3_1,What type of exercise do you enjoy the most?,I don't,VA,I don't,"What do you mean you 'don't'? You don't like to exercise? You don't have a favorite type of exercise? You do exercise, but don't enjoy it?"
3_2,What type of exercise do you enjoy the most?,I don't have a favorite type of exercise. I tend to lift and run the most though.,C,,
3_3,What type of exercise do you enjoy the most?,I hate running ,VA,hate running,"I see that you dislike running, but is there a form of exercise that you enjoy?"
3_4,What type of exercise do you enjoy the most?,"I hate running, my knees don't do well with high impact sports. Therefore, the form of exercise I enjoy the most is swimming.",C,,
3_5,What type of exercise do you enjoy the most?,Getting air is the best feeling.,VA,getting air,What type of exercise allows you to 'get air'? Do you prefer one of those types of activities more than the other? 
3_6,What type of exercise do you enjoy the most?,"Getting air is the best feeling, so my favorite sports/ types of exercise are skiing and mountain biking.",C,,
3_7,What type of exercise do you enjoy the most?,I'm a professional soccer player,VA,professional soccer player,"Since you are a professional soccer player, can we imply that your favorite form of exercise is running? Or is there another type of exercise you enjoy more? "
3_8,What type of exercise do you enjoy the most?,"I'm a professional soccer player, so you could say that I get the most enjoyment out of running. ",C,,
3_9,What type of exercise do you enjoy the most?,I recently had a heart attack and my cardiologist told me that I need to start walking more.,VA,cardiologist told me that I need to start walking more,Have you started walking more? Do you get enjoyment out of walking? Is there another type of exercise you get enjoyment from?
3_10,What type of exercise do you enjoy the most?,I recently had a heart attack and my cardiologist told me that I need to start walking more. I've started talking walks at sunrise and sunset so get the most out of the day. Been really enjoying breathing in the fresh air as the sun is rising and setting. Also walking at the beginning of the day gets my brain working faster and my evening walk is a nice way to unplug from the computer at the end of the day. ,C,,
